City,Country,Date,Latitude,Longitude,High Temperature (F),Humidity,Cloudiness,Wind Speed
Nikolskoye,RU,1568912849,59.7,30.79,45.0,60,0,6.71
Margherita,IN,1568912852,27.29,95.67,76.73,91,0,0.67
Fairbanks,US,1568912732,64.84,-147.72,44.6,93,90,5.82
Bermeo,ES,1568912856,43.42,-2.72,72.0,60,0,9.17
Calvinia,ZA,1568912857,-31.47,19.78,66.65,49,73,4.45
Timon,BR,1568912858,-5.1,-42.84,98.6,27,0,6.93
Lagos,NG,1568912861,6.46,3.39,80.6,83,75,11.41
Carnarvon,ZA,1568912862,-30.97,22.13,76.73,17,100,9.57
Coihaique,CL,1568912864,-45.58,-72.07,46.4,52,75,8.05
Nemuro,JP,1568912865,43.32,145.57,57.29,68,13,26.91
Usinsk,RU,1568912867,66.0,57.56,39.29,71,99,8.25
Barrow,AR,1568912868,-38.31,-60.23,54.77,32,0,18.48
Nampula,MZ,1568912869,-15.12,39.26,80.6,57,0,12.75
Bluff,AU,1568912872,-23.58,149.07,59.27,95,0,8.63
Taoudenni,ML,1568912873,22.68,-3.98,105.35,14,79,1.03
Lompoc,US,1568912875,34.64,-120.46,72.0,82,1,9.17
Yeppoon,AU,1568912876,-23.13,150.74,62.6,88,40,4.18
Arraial do Cabo,BR,1568912878,-22.97,-42.02,78.8,78,75,10.29
Gat,SN,1568912880,14.69,-16.54,89.6,94,75,6.93
Puerto Colombia,CO,1568912881,10.99,-74.96,77.0,94,90,9.17
Necochea,AR,1568912883,-38.55,-58.74,53.01,54,17,17.0
Sola,TZ,1568912884,-3.17,33.8,77.63,23,43,4.32
Lavrentiya,RU,1568912885,65.58,-170.99,32.45,84,69,5.91
Hithadhoo,MV,1568912888,-0.6,73.08,82.49,79,10,11.72
Pedernales,EC,1568912889,0.07,-80.05,71.51,90,99,18.39
Hobart,AU,1568912892,-42.88,147.33,64.99,76,100,9.17
Basco,US,1568912893,40.33,-91.2,88.0,69,75,4.7
Ayame,CI,1568912894,5.61,-3.16,75.47,91,98,5.86
Sitka,US,1568912896,37.17,-99.65,86.0,60,0,14.0
Bosobolo,CD,1568912897,4.19,19.88,74.57,89,80,0.63
Krapivinskiy,RU,1568912898,55.0,86.81,55.4,87,0,6.71
Listvyanka,RU,1568912900,51.86,104.86,42.8,100,0,4.47
Chokurdakh,RU,1568912901,70.62,147.9,25.79,89,7,10.16
Tuktoyaktuk,CA,1568912905,69.44,-133.03,39.2,100,90,4.7
Gumdag,TM,1568912906,39.2,54.59,80.87,27,0,4.97
Aklavik,CA,1568912907,68.22,-135.01,41.0,86,90,14.99
Qaanaaq,GL,1568912909,77.48,-69.36,22.19,45,1,7.16
Nebolchi,RU,1568912910,59.12,33.35,38.57,77,100,1.34
Burnie,AU,1568912912,-41.05,145.91,53.33,97,100,6.24
Pevek,RU,1568912913,69.7,170.27,36.05,79,100,21.07
Mozelos,PT,1568912914,41.0,-8.56,71.01,100,75,3.36
Eldorado,BR,1568912916,-24.52,-48.11,85.73,51,55,2.24
Aranos,NA,1568912917,-24.14,19.11,76.37,9,9,13.51
Antofagasta,CL,1568912919,-23.65,-70.4,59.0,54,20,14.99
Hualmay,PE,1568912920,-11.1,-77.61,60.35,88,83,11.05
Itacare,BR,1568912922,-14.28,-39.0,82.4,74,40,11.41
Brae,GB,1568912924,60.4,-1.35,53.6,93,100,16.11
Port Hedland,AU,1568912927,-20.31,118.58,64.4,93,27,5.82
Qianan,CN,1568912928,44.99,124.06,49.55,76,0,6.02
Naze,NG,1568912929,5.43,7.07,74.03,94,100,3.29
Upernavik,GL,1568912931,72.79,-56.15,29.75,43,79,6.31
Bethel,US,1568912702,60.79,-161.76,39.2,86,1,5.82
Faanui,PF,1568912933,-16.48,-151.75,76.01,78,100,12.35
Lorengau,PG,1568912935,-2.02,147.27,78.17,81,92,2.71
Clyde River,CA,1568912936,70.47,-68.59,35.6,93,75,18.34
Jamestown,AU,1568912937,-33.21,138.6,51.35,70,100,2.48
Saint-Philippe,CA,1568912939,45.36,-73.48,69.01,42,1,4.7
Severnoye,RU,1568912941,54.09,52.54,45.59,87,80,10.54
Muzhi,RU,1568912943,65.4,64.7,42.89,91,100,8.41
Elko,US,1568912946,40.83,-115.76,43.0,81,90,3.36
Angermunde,DE,1568912947,53.02,14.0,59.0,61,80,7.36
Mount Gambier,AU,1568912948,-37.83,140.78,64.13,49,100,20.58
Seoul,KR,1568912950,37.57,126.98,62.6,87,90,4.7
Bakurianis Andeziti,GE,1568912952,41.73,43.47,58.55,95,13,3.0
Kahului,US,1568912953,20.89,-156.47,78.8,69,40,3.36
Puerto Madryn,AR,1568912707,-42.77,-65.04,56.57,22,31,31.97
Saskylakh,RU,1568912956,71.97,114.09,37.13,92,100,3.94
Pimentel,BR,1568912959,-3.7,-45.5,98.87,30,0,5.5
Tornio,FI,1568912961,61.12,27.27,42.8,81,20,8.05
Yerbogachen,RU,1568912962,61.28,108.01,32.63,97,64,7.18
Chernyshevskiy,RU,1568912964,63.01,112.47,27.95,88,0,3.02
Preobrazheniye,RU,1568912965,42.9,133.91,37.13,77,0,4.83
Ribeira Grande,PT,1568912967,38.52,-28.7,75.2,88,75,12.75
Katsuura,JP,1568912968,33.93,134.5,66.2,72,20,5.82
Sidney,US,1568912941,47.72,-104.16,71.01,60,1,18.34
North Bend,US,1568912709,43.41,-124.22,59.0,93,1,3.36
Wlodawa,PL,1568912974,51.55,23.55,50.0,71,75,10.29
Cortes,PH,1568912975,9.28,126.19,80.33,68,100,3.04
Provideniya,RU,1568912978,64.42,-173.23,31.73,80,0,4.32
Lonar,IN,1568912980,19.99,76.52,74.93,88,100,5.39
Along,IN,1568912981,28.17,94.8,57.65,92,67,3.4
Lagoa,PT,1568912983,37.14,-8.45,80.01,69,20,10.29
Iqaluit,CA,1568912984,63.75,-68.52,37.4,93,90,38.03
Klaksvik,FO,1568912986,62.23,-6.59,51.8,100,75,3.36
Inyonga,TZ,1568912987,-6.72,32.06,77.45,29,43,5.86
Komsomolskiy,RU,1568912991,67.55,63.78,36.77,93,83,8.7
Zinder,NE,1568912992,13.81,8.99,96.8,30,20,6.93
Makhinjauri,GE,1568912994,41.67,41.69,66.2,88,40,5.82
Ostersund,SE,1568912995,63.18,14.64,42.8,75,75,11.41
Buraydah,SA,1568912996,26.33,43.97,98.6,17,0,9.17
Dakar,SN,1568912999,14.69,-17.45,86.0,94,75,6.93
Abashiri,JP,1568913000,44.01,144.25,48.83,79,71,6.51
Mehamn,NO,1568913002,71.03,27.85,39.2,80,75,13.87
Dikson,RU,1568913003,73.51,80.55,40.55,87,25,12.57
Saint-Francois,FR,1568913005,46.42,3.91,71.6,24,0,11.41
Alice Springs,AU,1568913009,-23.7,133.88,75.2,10,0,13.87
San Juan,AR,1568913003,-31.54,-68.53,44.51,36,1,7.96
Goure,NE,1568913014,13.98,10.27,93.99,30,51,6.85
Hofn,IS,1568913015,64.25,-15.21,51.8,100,90,17.22
Lodeynoye Pole,RU,1568913016,60.73,33.55,37.49,78,100,3.27
Winnemucca,US,1568913019,40.97,-117.74,48.2,76,75,5.82
Dudinka,RU,1568913020,69.41,86.18,42.8,70,0,17.9
Port Lincoln,AU,1568913022,-34.72,135.86,56.21,81,100,11.12
Broken Hill,AU,1568913023,-31.97,141.45,62.6,27,47,11.41
Honiara,SB,1568913024,-9.43,159.96,75.2,100,75,3.36
Tiksi,RU,1568913026,71.64,128.87,36.95,97,60,7.43
Kasempa,ZM,1568913028,-13.46,25.83,70.25,22,0,4.92
Zainsk,RU,1568913029,55.29,52.01,46.4,81,20,8.95
Ayagoz,KZ,1568913030,47.96,80.43,59.81,34,0,4.68
Svirstroy,RU,1568913032,60.8,33.72,37.49,78,100,3.27
Victoria,BN,1568913024,5.28,115.24,84.2,74,75,4.7
Madang,CN,1568913035,35.32,102.79,33.17,98,100,3.22
Quatre Cocos,MU,1568913037,-20.21,57.76,71.6,78,75,14.99
Cayenne,GF,1568913038,4.94,-52.33,91.4,63,1,9.17
Conceicao do Araguaia,BR,1568913040,-8.26,-49.26,107.33,15,1,6.22
Mar del Plata,AR,1568912960,-46.43,-67.52,51.89,23,63,34.96
Kruisfontein,ZA,1568913042,-34.0,24.73,70.97,70,100,7.61
Tirschenreuth,DE,1568913044,49.88,12.34,54.0,50,1,3.18
Krasnogorsk,RU,1568913045,55.82,37.34,48.2,87,75,6.71
Codrington,AU,1568913046,-28.95,153.24,53.6,93,90,6.93
Venice,US,1568912980,27.1,-82.45,89.01,48,1,17.22
Port Shepstone,ZA,1568913051,-30.74,30.45,65.93,88,100,16.64
Norman Wells,CA,1568913053,65.28,-126.83,48.2,87,75,4.7
Bambous Virieux,MU,1568913055,-20.34,57.76,71.6,78,75,14.99
Kavieng,PG,1568913056,-2.57,150.8,81.59,73,83,4.85
Kodiak,US,1568913058,39.95,-94.76,87.01,83,40,8.05
Prince Rupert,CA,1568913051,54.32,-130.32,53.6,93,90,10.29
Hasaki,JP,1568913061,35.73,140.83,64.4,82,75,6.93
Chon Daen,TH,1568913064,16.19,100.86,77.27,90,92,1.79
Olinda,AU,1568913065,-37.84,145.39,71.01,56,100,17.22
Jacareacanga,BR,1568913066,-6.22,-57.76,95.0,50,20,4.7
Farafangana,MG,1568913068,-22.82,47.83,68.45,87,90,2.39
Enid,US,1568912831,36.4,-97.88,88.0,66,1,12.75
Nuuk,GL,1568913072,64.17,-51.74,42.8,52,5,9.17
Poum,MK,1568913075,41.28,20.71,55.4,87,75,1.12
Menongue,AO,1568913076,-14.66,17.68,71.69,14,16,4.68
Kwinana,AU,1568913077,-32.25,115.77,44.01,93,70,5.82
Koslan,RU,1568913080,63.46,48.9,33.53,94,78,5.48
Cabo San Lucas,MX,1568913082,22.89,-109.91,91.0,40,90,8.05
Omsukchan,RU,1568913084,62.53,155.8,33.17,97,100,4.92
Dingle,PH,1568913085,11.0,122.67,74.21,89,100,5.61
Lexington,US,1568912971,38.05,-84.5,87.01,51,1,10.29
Linxi,CN,1568913088,23.65,116.7,75.2,83,0,2.75
Ilulissat,GL,1568913089,69.22,-51.1,35.6,47,5,5.82
Yar-Sale,RU,1568913091,66.83,70.83,42.71,90,92,2.77
Oxford,GB,1568913094,51.75,-1.26,70.0,45,0,4.7
Qandala,SO,1568913096,11.47,49.87,88.61,68,33,3.4
Aloleng,PH,1568913097,16.13,119.78,79.07,86,100,11.61
Berlevag,NO,1568913098,70.86,29.09,39.2,78,75,23.04
Cabedelo,BR,1568913100,-6.97,-34.84,82.4,65,75,16.11
Honningsvag,NO,1568913101,70.98,25.97,39.2,86,75,11.41
Yayva,RU,1568913103,59.33,57.26,44.01,97,70,4.0
Lata,IN,1568913104,30.78,78.62,34.25,92,20,1.01
Port-Gentil,GA,1568913107,-0.72,8.78,82.4,78,40,10.29
Smithers,CA,1568913109,54.78,-127.17,50.0,93,75,3.4
Itoman,JP,1568913111,26.12,127.67,78.8,94,90,9.17
Tual,ID,1568913112,-5.67,132.75,77.09,87,41,11.59
Mayo,CA,1568913115,63.59,-135.9,44.6,100,90,2.24
Guerrero Negro,MX,1568913118,27.97,-114.04,70.43,77,0,14.14
Jumla,NP,1568913120,29.28,82.18,48.11,95,45,2.39
Yoshikawa,JP,1568913123,35.89,139.86,73.99,77,90,6.93
Jalu,LY,1568913125,29.03,21.55,83.75,23,0,8.21
Iquitos,PE,1568912935,-3.75,-73.25,93.2,56,75,6.93
Beloha,MG,1568913129,-25.17,45.06,65.93,72,0,13.62
Goya,AR,1568913133,-29.14,-59.27,79.79,42,0,7.81
Tautira,PF,1568913135,-17.73,-149.15,75.2,78,40,4.7
Sur,OM,1568913137,22.57,59.53,77.45,72,83,9.78
Hvide Sande,DK,1568913138,56.01,8.13,54.0,71,85,8.05
Biak,ID,1568913140,-0.91,122.88,62.33,97,95,1.97
Tura,RU,1568913142,64.27,100.22,36.77,95,100,6.22
Buenos Aires,AR,1568912544,-34.61,-58.44,64.99,36,0,9.17
Ostrovnoy,RU,1568913146,68.05,39.51,32.09,84,100,14.23
Te Anau,NZ,1568913149,-45.41,167.72,39.47,89,7,1.97
Aksarka,RU,1568913152,66.56,67.8,40.37,94,78,6.91
Rocha,UY,1568913026,-34.48,-54.34,62.69,74,17,15.23
Bonavista,CA,1568913157,48.65,-53.11,57.99,62,2,10.0
Turukhansk,RU,1568913159,65.8,87.96,46.67,98,100,5.55
Dunedin,NZ,1568913161,-45.87,170.5,51.01,68,89,20.0
Ulan-Ude,RU,1568913163,51.84,107.58,39.2,93,1,4.47
Lazaro Cardenas,MX,1568913165,28.39,-105.62,73.4,64,40,7.23
El Alto,BO,1568913168,-16.5,-68.19,60.8,23,20,11.41
Piranhas,BR,1568913170,-16.43,-51.82,100.67,11,0,13.8
Bathsheba,BB,1568913172,13.22,-59.52,87.8,66,40,12.75
Nanortalik,GL,1568913174,60.14,-45.24,36.59,93,99,1.34
Barra do Garcas,BR,1568913153,-15.89,-52.26,104.0,20,40,13.87
Cabarroguis,PH,1568913176,16.51,121.53,70.97,96,100,0.89
Pitimbu,BR,1568913178,-7.47,-34.81,82.4,65,75,16.11
Hammerfest,NO,1568913180,70.66,23.68,41.0,80,75,29.97
Russas,BR,1568913182,-4.93,-37.97,101.21,18,0,8.93
Linxia,CN,1568913184,35.6,103.21,44.33,87,100,6.11
Paamiut,GL,1568913187,61.99,-49.67,39.83,67,28,0.67
Luderitz,NA,1568913188,-26.65,15.16,59.0,87,100,5.82
Kirakira,SB,1568913190,-10.46,161.92,77.45,85,100,8.68
Muncar,ID,1568913191,-8.43,114.34,70.43,97,95,2.13
Alice Town,BS,1568913193,25.72,-79.3,80.15,71,0,15.99
Sabzevar,IR,1568913194,36.21,57.68,71.69,21,0,5.99
Havre-Saint-Pierre,CA,1568912922,50.23,-63.6,55.4,71,20,16.11
Bandarbeyla,SO,1568913198,9.49,50.81,77.09,73,89,22.39
Vila Velha,BR,1568913199,-3.71,-38.6,86.0,55,20,23.04
Imeni Poliny Osipenko,RU,1568913201,52.42,136.49,36.23,78,68,5.37
Aliwal North,ZA,1568913203,-30.69,26.71,67.19,19,85,3.53
Westport,US,1568913205,41.14,-73.36,69.01,34,1,3.36
Kaniama,CD,1568913206,-7.57,24.18,77.63,58,63,6.22
Tazovskiy,RU,1568913207,67.47,78.7,41.45,92,94,3.27
Ocos,GT,1568913209,14.51,-92.19,91.4,63,20,8.05
Wajima,JP,1568913210,37.4,136.9,68.99,49,98,10.45
Palmer,AU,1568913212,-34.85,139.16,62.01,77,0,17.22
Tateyama,JP,1568913213,36.66,137.31,60.01,82,99,6.31
Samarai,PG,1568913214,-10.62,150.67,72.41,91,78,6.85
Oshawa,CA,1568913104,43.92,-78.86,73.0,56,1,8.05
Juruti,BR,1568913219,-2.16,-56.09,100.31,28,18,8.75
Havelock,US,1568913156,34.88,-76.9,78.01,49,1,12.75
Vostok,RU,1568913222,46.45,135.83,39.65,99,100,4.03
Pacific Grove,US,1568913223,36.62,-121.92,66.99,72,1,8.28
Ukiah,US,1568913110,39.15,-123.21,66.0,82,1,2.33
Jian,IN,1568913228,25.65,87.89,83.57,72,55,1.66
Souillac,FR,1568913230,45.6,-0.6,77.0,20,0,18.34
Santa Maria,BR,1568913231,-16.02,-48.01,93.99,13,0,9.17
Tolaga Bay,NZ,1568913233,-38.37,178.3,42.17,98,52,2.21
Kinablangan,PH,1568913235,7.69,126.55,72.05,81,100,3.18
Puerto Escondido,MX,1568913238,15.86,-97.07,87.53,58,100,9.57
Palauig,PH,1568913240,15.44,119.9,79.25,89,100,22.75
At-Bashi,KG,1568913242,41.17,75.81,48.65,40,0,3.94
Shangzhi,CN,1568913243,45.21,127.96,40.19,82,0,4.0
Dalianwan,CN,1568913246,39.03,121.69,66.2,68,0,4.47
Newberry,US,1568913248,46.35,-85.51,71.6,94,75,11.41
Kaeo,NZ,1568913251,-35.1,173.78,45.0,100,12,5.55
Hamilton,CA,1568912963,43.26,-79.87,77.0,52,75,13.87
Adjumani,UG,1568913255,3.38,31.79,73.49,73,0,2.59
Oranjemund,ZA,1568913256,-28.55,16.43,56.93,94,100,11.07
Valkeala,FI,1568913257,60.94,26.8,42.8,81,20,8.05
Troitskiy,RU,1568913259,45.15,38.14,60.01,72,20,4.47
Kabalo,CD,1568913261,-6.05,26.92,80.51,58,85,4.76
The Valley,AI,1568913262,18.22,-63.06,89.6,70,40,17.22
Harlingen,NL,1568913023,53.18,5.41,60.01,67,90,2.24
Torbay,CA,1568913264,47.66,-52.73,59.0,58,5,16.11
Mogadishu,SO,1568913266,2.04,45.34,76.91,82,97,14.67
Makakilo City,US,1568913127,21.35,-158.09,81.0,74,90,4.7
Colonelganj,IN,1568913269,27.13,81.7,77.09,80,80,3.74
Severo-Yeniseyskiy,RU,1568913271,60.37,93.04,52.61,91,100,11.16
Mantua,IT,1568913273,45.16,10.79,71.6,43,75,5.82
Srednekolymsk,RU,1568913278,67.46,153.71,26.87,92,0,10.38
Chuy,UY,1568913238,-33.69,-53.46,67.55,57,0,8.75
Magan,OM,1568913281,24.42,56.58,87.8,74,0,6.93
Tabou,CI,1568913284,4.42,-7.36,75.47,89,96,7.43
Sao Filipe,CV,1568913285,14.9,-24.5,78.17,84,85,13.82
Ossora,RU,1568913287,59.24,163.07,37.85,86,100,4.61
Kurilsk,RU,1568913289,45.23,147.88,56.57,67,92,30.87
Maceio,BR,1568913290,-9.67,-35.74,82.4,65,40,14.99
Rognan,NO,1568913292,67.1,15.4,44.6,75,40,14.99
Severo-Kurilsk,RU,1568913295,50.68,156.12,49.19,86,100,24.29
Sovetskiy,RU,1568913309,56.76,48.47,42.17,91,91,6.22
Liuzhou,CN,1568913311,24.32,109.41,70.07,86,7,2.89
Pisco,PE,1568913313,-13.71,-76.2,71.6,30,90,8.05
Menomonie,US,1568913163,44.88,-91.92,79.0,83,75,4.7
Hambantota,LK,1568913075,6.12,81.12,81.41,80,1,11.86
Isangel,VU,1568913320,-19.55,169.27,73.49,76,94,20.49
Pangai,TO,1568913323,-19.8,-174.35,71.51,72,82,16.17
Kasangulu,CD,1568913324,-4.59,15.17,80.6,74,75,6.93
Isla Vista,US,1568913327,34.41,-119.86,75.0,68,40,3.36
Daru,PG,1568913329,-9.07,143.21,73.13,89,33,6.91
Jaspur,IN,1568913331,29.28,78.83,75.11,87,0,3.31
Prado,CO,1568913332,3.75,-74.93,88.43,49,100,1.23
Vung Tau,VN,1568913334,10.35,107.08,77.63,87,97,2.15
Roald,NO,1568913335,62.58,6.12,46.4,87,75,8.05
Aksu,KZ,1568913341,52.04,76.93,62.6,42,0,11.18
Airai,TL,1568913345,-8.93,125.41,66.65,77,2,2.71
Port Hardy,CA,1568913351,50.7,-127.42,55.4,93,90,5.82
Murray Bridge,AU,1568913354,-35.12,139.28,64.0,69,97,3.0
Jasper,US,1568913199,33.83,-87.28,87.01,58,75,9.86
Chiredzi,ZW,1568913360,-21.05,31.67,73.85,36,0,5.21
Mount Isa,AU,1568913361,-20.73,139.49,48.2,23,41,9.37
Harrogate,AU,1568913363,-34.95,139.01,62.01,77,0,17.22
Hokitika,NZ,1568913260,-42.72,170.96,46.49,71,0,2.75
Shingu,JP,1568913366,33.72,135.99,56.03,87,0,4.52
Birjand,IR,1568913368,32.86,59.22,80.6,12,0,9.17
Ulladulla,AU,1568913369,-35.36,150.48,53.01,100,40,3.33
Ambilobe,MG,1568913372,-13.19,49.05,71.69,57,31,4.74
Ouallam,NE,1568913374,14.32,2.08,99.59,23,58,12.59
Wilmington,US,1568913079,39.75,-75.55,70.0,40,20,4.7
Dhidhdhoo,MV,1568913376,6.88,73.1,82.67,75,78,8.48
Eyl,SO,1568913378,7.98,49.82,75.47,77,49,20.27
Gold Coast,AU,1568913252,-28.0,153.41,61.0,93,0,4.7
Saint-Pierre,FR,1568913382,48.95,4.24,66.2,34,0,17.22
Vanavara,RU,1568913383,60.35,102.28,46.67,97,100,8.7
Bodden Town,KY,1568913385,19.28,-81.25,84.99,83,75,14.99
Jiaocheng,CN,1568913386,24.68,116.14,63.23,74,0,4.14
Bull Savanna,JM,1568913388,17.89,-77.59,84.83,70,60,12.39
Rio Grande,BR,1568913389,-32.03,-52.1,73.4,60,40,6.93
Half Moon Bay,US,1568913390,37.46,-122.43,70.0,82,1,8.05
Cidreira,BR,1568913392,-30.17,-50.22,72.41,70,1,7.92
Kargasok,RU,1568913395,59.06,80.87,61.43,63,100,13.24
Nouakchott,MR,1568913222,18.08,-15.98,87.8,70,16,11.41
Benguela,AO,1568913397,-12.58,13.4,71.6,100,0,11.41
Phonhong,LA,1568913400,18.5,102.42,80.6,94,75,2.24
Porto Novo,BR,1568913401,-23.68,-45.44,84.2,39,89,5.82
Husavik,CA,1568913405,50.56,-96.99,63.0,79,1,4.92
Porto Velho,BR,1568913406,-8.75,-63.87,95.0,44,75,8.05
Novonikolayevskiy,RU,1568913409,50.97,42.37,51.01,81,3,1.01
Lafiagi,NG,1568913410,8.85,5.42,81.23,76,73,2.77
Pangkalanbuun,ID,1568913411,-2.68,111.62,70.97,98,1,2.17
Talnakh,RU,1568913413,69.49,88.39,42.8,70,0,17.9
Nizhniy Tsasuchey,RU,1568913414,50.52,115.13,45.05,72,47,10.36
Buala,SB,1568913416,-8.15,159.59,79.61,82,79,13.29
Chumikan,RU,1568913417,54.72,135.31,33.71,87,32,5.32
Grammichele,IT,1568913419,37.21,14.64,80.6,88,75,6.93
Oksfjord,NO,1568913420,70.24,22.35,41.0,86,75,18.34
Orangeburg,US,1568913241,33.49,-80.86,79.0,36,1,8.05
Thinadhoo,MV,1568913423,0.53,72.93,82.67,76,91,11.61
Adrar,DZ,1568913425,27.87,-0.29,109.4,6,0,5.82
Praia,BR,1568913246,-20.25,-43.81,95.0,19,0,4.7
Elat,CM,1568913427,2.91,11.16,68.81,97,54,2.66
Matay,EG,1568913429,28.42,30.79,83.75,30,0,18.45
Takhatgarh,IN,1568913430,25.32,73.0,85.73,53,0,3.87
